"filename", "language", "Shell Script", "YAML", "JavaScript", "SQL", "Markdown", "JSON", "Docker", "JSON with Comments", "Ignore", "TypeScript", "JavaScript React", "Properties", "HTML", "CSS", "comment", "blank", "total"
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/services/requests.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/components/header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 9, 91
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/components/leaderboardTable.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 10, 104
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/games.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 25, 202
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/leaderboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 5, 49
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 9, 87
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/matchSettings.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 17, 118
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/apps_install.sh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/data-testid.md", "Markdown", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 62
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/db.example.sql", "SQL", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 87
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/dockerfile_denylist.sh", "Shell Script", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/jest.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 8
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/package-lock.json", "JSON", 0, 0, 0, 0, 0, 17891, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17892
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/package.json", "JSON", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/pull_request_template.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 49
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/trybe.yml", "YAML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 47, 225, 5032, 51, 2248, 73725, 12, 168, 5, 444, 986, 1, 19, 584, 167, 1160, 84874
